iterations_N,quantile_params,trajectories_K,max_iter,best_mean_total_reward
20,0.1,100,100,-232.75
20,0.1,100,200,-454.24
20,0.1,100,500,-490.79
20,0.1,100,1000,-473.3
20,0.1,100,2000,-533.67
20,0.1,1000,100,-225.859
20,0.1,1000,200,-464.637
20,0.1,1000,500,-445.713
20,0.1,1000,1000,-500.123
20,0.1,1000,2000,-477.893
20,0.1,5000,100,-218.6462
20,0.1,5000,200,-460.1958
20,0.1,5000,500,-477.8404
20,0.1,5000,1000,-490.189
20,0.1,5000,2000,-470.018
20,0.1,10000,100,-220.0676
20,0.1,10000,200,-484.3751
20,0.1,10000,500,-482.9665
20,0.1,10000,1000,-475.2357
20,0.1,10000,2000,-473.5521
20,0.1,15000,100,-231.65246666666667
20,0.1,15000,200,-469.04086666666666
20,0.1,15000,500,-477.505
20,0.1,15000,1000,-458.46686666666665
20,0.1,15000,2000,-478.53293333333335
20,0.3,100,100,-111.7
20,0.3,100,200,-253.87
20,0.3,100,500,-194.16
20,0.3,100,1000,-211.85
20,0.3,100,2000,-193.97
20,0.3,1000,100,-32.941
20,0.3,1000,200,-12.032
20,0.3,1000,500,-11.947
20,0.3,1000,1000,-4.97
20,0.3,1000,2000,-4.211
20,0.3,5000,100,-21.001
20,0.3,5000,200,-7.587
20,0.3,5000,500,-9.7102
20,0.3,5000,1000,-9.382
20,0.3,5000,2000,-7.1376
20,0.3,10000,100,-15.6871
20,0.3,10000,200,-10.899
20,0.3,10000,500,-10.2648
20,0.3,10000,1000,-10.562
20,0.3,10000,2000,-9.0849
20,0.3,15000,100,-14.079933333333333
20,0.3,15000,200,-7.057666666666667
20,0.3,15000,500,-8.946733333333333
20,0.3,15000,1000,-10.654933333333334
20,0.3,15000,2000,-8.941666666666666
20,0.5,100,100,-137.02
20,0.5,100,200,-165.31
20,0.5,100,500,-198.92
20,0.5,100,1000,-168.17
20,0.5,100,2000,-235.8
20,0.5,1000,100,-19.121
20,0.5,1000,200,7.568
20,0.5,1000,500,7.562
20,0.5,1000,1000,7.424
20,0.5,1000,2000,7.624
20,0.5,5000,100,7.598
20,0.5,5000,200,7.7078
20,0.5,5000,500,7.733
20,0.5,5000,1000,7.7846
20,0.5,5000,2000,7.7248
20,0.5,10000,100,7.6466
20,0.5,10000,200,7.731
20,0.5,10000,500,7.7178
20,0.5,10000,1000,7.6759
20,0.5,10000,2000,7.7489
20,0.5,15000,100,7.6452
20,0.5,15000,200,7.707466666666667
20,0.5,15000,500,7.740933333333333
20,0.5,15000,1000,7.713933333333333
20,0.5,15000,2000,7.7064
20,0.7,100,100,-181.63
20,0.7,100,200,-181.44
20,0.7,100,500,-332.19
20,0.7,100,1000,-338.1
20,0.7,100,2000,-273.56
20,0.7,1000,100,-15.677
20,0.7,1000,200,7.055
20,0.7,1000,500,6.395
20,0.7,1000,1000,6.515
20,0.7,1000,2000,6.811
20,0.7,5000,100,7.7374
20,0.7,5000,200,7.738
20,0.7,5000,500,7.7142
20,0.7,5000,1000,7.779
20,0.7,5000,2000,7.6966
20,0.7,10000,100,7.7851
20,0.7,10000,200,7.8075
20,0.7,10000,500,7.8077
20,0.7,10000,1000,7.8177
20,0.7,10000,2000,7.708
20,0.7,15000,100,7.7804
20,0.7,15000,200,7.7892
20,0.7,15000,500,7.811266666666667
20,0.7,15000,1000,7.8094
20,0.7,15000,2000,7.797733333333333
20,0.9,100,100,-262.78
20,0.9,100,200,-332.22
20,0.9,100,500,-306.85
20,0.9,100,1000,-333.46
20,0.9,100,2000,-337.98
20,0.9,1000,100,-71.533
20,0.9,1000,200,-20.665
20,0.9,1000,500,-32.514
20,0.9,1000,1000,-64.644
20,0.9,1000,2000,-12.323
20,0.9,5000,100,2.4174
20,0.9,5000,200,5.3716
20,0.9,5000,500,4.7216
20,0.9,5000,1000,4.3606
20,0.9,5000,2000,4.9332
20,0.9,10000,100,7.1882
20,0.9,10000,200,6.7886
20,0.9,10000,500,6.7561
20,0.9,10000,1000,6.6212
20,0.9,10000,2000,6.5186
20,0.9,15000,100,7.009733333333333
20,0.9,15000,200,7.360666666666667
20,0.9,15000,500,6.6311333333333335
20,0.9,15000,1000,7.015666666666666
20,0.9,15000,2000,6.8618
